Area,Element,mean,std,min,max,Cluster
Mauritius,Temperature change,0.35229166666666667,0.5799655691534704,-1.158,1.855,3
Mayotte,Standard Deviation,0.41495918367346935,0.06289951376852154,0.311,0.507,0
Mayotte,Temperature change,0.4377943925233645,0.5524923074392805,-0.894,1.933,3
Melanesia,Standard Deviation,0.27843243243243243,0.05295955579653784,0.173,0.371,0
Melanesia,Temperature change,0.2937747747747748,0.41109168817330277,-0.538,1.701,3
Mexico,Standard Deviation,0.5233925233644859,0.1576667585004061,0.233,0.817,0
Mexico,Temperature change,0.34092307692307694,0.681910347612303,-1.391,1.986,3
Micronesia,Standard Deviation,0.20824096385542168,0.03785646523429338,0.155,0.299,0
Micronesia,Temperature change,0.24148214285714284,0.3812695006300428,-0.613,1.421,3
Micronesia (Federated States of),Temperature change,0.2240508474576271,0.34300977284402673,-0.567,1.148,3
Middle Africa,Standard Deviation,0.32190625,0.07238989143229149,0.211,0.506,0
Middle Africa,Temperature change,0.4491428571428571,0.48254063447291745,-0.529,1.764,3
Midway Island,Standard Deviation,0.7655,0.21428883987868272,0.37,1.09,4
Midway Island,Temperature change,-0.14315789473684212,0.5572105390203255,-1.46,0.721,3
Monaco,Standard Deviation,0.9683655913978494,0.3308960754016622,0.335,1.893,4
Monaco,Temperature change,0.5993999999999999,1.1952589956434825,-2.862,3.779,1
Mongolia,Standard Deviation,1.3044673913043479,0.6702256377656668,0.462,3.021,2
Mongolia,Temperature change,0.8337272727272727,1.6732242240881035,-4.662,4.957,9
Montenegro,Temperature change,1.5098620689655173,1.6867172623628153,-3.233,5.301,5
Montserrat,Standard Deviation,0.38779411764705884,0.10035938769108049,0.248,0.58,0
Montserrat,Temperature change,0.2836372549019608,0.48805667965793326,-0.748,2.315,3
Morocco,Standard Deviation,0.9571346153846154,0.2882064072137778,0.476,1.412,4
Morocco,Temperature change,0.7390294117647059,1.157358245331701,-1.689,3.934,1
Mozambique,Standard Deviation,0.47435643564356433,0.11369736884892417,0.252,0.698,0
Mozambique,Temperature change,0.29083,0.5645283014440581,-1.461,1.776,3
Myanmar,Standard Deviation,0.4259464285714286,0.15515478114855535,0.204,0.735,0
Myanmar,Temperature change,0.39295698924731187,0.649000316774534,-1.048,2.2,3
Namibia,Standard Deviation,0.5608514851485149,0.1132874561580949,0.303,0.765,0
Namibia,Temperature change,0.3563888888888889,0.7319960271754369,-1.458,2.477,3
Nauru,Temperature change,-0.08325,0.3914317143986125,-0.967,0.915,3
Nepal,Standard Deviation,0.5921290322580645,0.22300941809934796,0.263,0.956,0
Nepal,Temperature change,0.23896842105263155,0.8342187765072586,-2.037,4.122,8
Net Food Importing Developing Countries,Standard Deviation,0.31142056074766356,0.06778601700623357,0.221,0.499,0
Net Food Importing Developing Countries,Temperature change,0.444704,0.5890142807842116,-0.828,1.701,3
Netherlands,Standard Deviation,1.3758613861386138,0.5429712336708632,0.617,2.75,2
Netherlands,Temperature change,0.6617254901960784,1.4516401727787107,-3.082,3.97,1
Netherlands Antilles (former),Standard Deviation,0.4333904761904762,0.08239637959257293,0.313,0.548,0
Netherlands Antilles (former),Temperature change,0.4290566037735849,0.5321187269986292,-0.531,1.861,3
New Caledonia,Standard Deviation,0.5714672897196261,0.10241428240581628,0.322,0.701,0
New Caledonia,Temperature change,0.25247619047619047,0.6864985306617433,-1.176,3.119,8
New Zealand,Standard Deviation,0.6985106382978723,0.15770796099397938,0.377,0.937,4
New Zealand,Temperature change,0.2535420560747664,0.7048917658169142,-1.449,2.341,3
Nicaragua,Standard Deviation,0.49241071428571426,0.08435473718749702,0.321,0.639,0
Nicaragua,Temperature change,0.5056868686868687,0.4786255331135794,-1.026,1.741,3
Niger,Standard Deviation,0.8032385321100917,0.3176182456708219,0.348,1.346,4
Niger,Temperature change,0.3436494845360825,1.0957795079420736,-2.405,3.001,8
Nigeria,Standard Deviation,0.5164571428571428,0.17717858377764098,0.286,0.857,0
